method,target_k,positive_hits,negative_hits,false_negatives,top_k_size,positive_totals,negative_totals,precision_micro,positive_recall_micro,f1_micro,negative_specificity_micro,negative_exposure_micro,positive_hits_per_group_mean,negative_hits_per_group_mean,precision_macro,positive_recall_macro,f1_macro,negative_specificity_macro,negative_exposure_macro,eligible_positive_groups,eligible_precision_groups,eligible_f1_groups,eligible_negative_groups
ARAGORN_RANKER,10,93,22,67,4211,160,131,0.808695652173913,0.58125,0.6763636363636364,0.8320610687022901,0.16793893129770993,1.9375,0.5945945945945946,0.723,0.6856297569532863,0.8852221462747779,0.6013513513513513,0.39864864864864863,48,50,38,37
RRF_A0.90_X0.10_C40,10,77,18,83,1705,160,131,0.8105263157894737,0.48125,0.6039215686274509,0.8625954198473282,0.13740458015267176,1.6041666666666667,0.4864864864864865,0.7419772256728778,0.6217464384743796,0.8538540163540164,0.668918918918919,0.3310810810810811,48,46,36,37
RRF_A0.90_X0.10_C50,10,77,18,83,1705,160,131,0.8105263157894737,0.48125,0.6039215686274509,0.8625954198473282,0.13740458015267176,1.6041666666666667,0.4864864864864865,0.7419772256728778,0.6217464384743796,0.8538540163540164,0.668918918918919,0.3310810810810811,48,46,36,37
RRF_A0.90_X0.10_C60,10,77,18,83,1705,160,131,0.8105263157894737,0.48125,0.6039215686274509,0.8625954198473282,0.13740458015267176,1.6041666666666667,0.4864864864864865,0.7419772256728778,0.6217464384743796,0.8538540163540164,0.668918918918919,0.3310810810810811,48,46,36,37
RRF_A0.90_X0.10_C10,10,76,17,84,1705,160,131,0.8172043010752689,0.475,0.6007905138339921,0.8702290076335878,0.1297709923664122,1.5833333333333333,0.4594594594594595,0.756984126984127,0.6182742162521574,0.850487012987013,0.6824324324324325,0.31756756756756754,48,45,36,37
RRF_A0.90_X0.10_C20,10,76,17,84,1705,160,131,0.8172043010752689,0.475,0.6007905138339921,0.8702290076335878,0.1297709923664122,1.5833333333333333,0.4594594594594595,0.756984126984127,0.6182742162521574,0.850487012987013,0.6824324324324325,0.31756756756756754,48,45,36,37
RRF_A0.80_X0.20_C10,10,75,17,85,1705,160,131,0.8152173913043478,0.46875,0.5952380952380952,0.8702290076335878,0.1297709923664122,1.5625,0.4594594594594595,0.7551322751322751,0.6163802768582181,0.8473124098124099,0.6824324324324325,0.31756756756756754,48,45,36,37
RRF_A0.80_X0.20_C20,10,75,18,85,1705,160,131,0.8064516129032258,0.46875,0.5928853754940712,0.8625954198473282,0.13740458015267176,1.5625,0.4864864864864865,0.7362433862433863,0.5974408829188241,0.8465615337043908,0.668918918918919,0.3310810810810811,48,45,35,37
RRF_A0.80_X0.20_C40,10,73,17,87,1705,160,131,0.8111111111111111,0.45625,0.584,0.8702290076335878,0.1297709923664122,1.5208333333333333,0.4594594594594595,0.7412131519274376,0.5557742162521574,0.8372622327167781,0.6824324324324325,0.31756756756756754,48,42,33,37
RRF_A0.80_X0.20_C50,10,73,18,87,1705,160,131,0.8021978021978022,0.45625,0.5816733067729084,0.8625954198473282,0.13740458015267176,1.5208333333333333,0.4864864864864865,0.71859410430839,0.5524598223127635,0.8540516774891775,0.6811454311454311,0.31885456885456886,48,42,32,37
