method,target_k,positive_hits,negative_hits,false_negatives,top_k_size,positive_totals,negative_totals,precision_micro,positive_recall_micro,f1_micro,negative_specificity_micro,negative_exposure_micro,positive_hits_per_group_mean,negative_hits_per_group_mean,precision_macro,positive_recall_macro,f1_macro,negative_specificity_macro,negative_exposure_macro,eligible_positive_groups,eligible_precision_groups,eligible_f1_groups,eligible_negative_groups
ARAGORN_RANKER,10,93,22,67,4211,160,131,0.808695652173913,0.58125,0.6763636363636364,0.8320610687022901,0.16793893129770993,1.9375,0.5945945945945946,0.723,0.6856297569532863,0.8852221462747779,0.6013513513513513,0.39864864864864863,48,50,38,37
RRF_A0.90_X0.10_C40,10,79,19,81,1768,160,131,0.8061224489795918,0.49375,0.6124031007751938,0.8549618320610687,0.1450381679389313,1.6458333333333333,0.5135135135135135,0.743840579710145,0.6248658680643975,0.8583910533910534,0.6554054054054054,0.34459459459459457,48,46,36,37
RRF_A0.90_X0.10_C50,10,79,19,81,1770,160,131,0.8061224489795918,0.49375,0.6124031007751938,0.8549618320610687,0.1450381679389313,1.6458333333333333,0.5135135135135135,0.743840579710145,0.6248658680643975,0.8583910533910534,0.6554054054054054,0.34459459459459457,48,46,36,37
RRF_A0.90_X0.10_C60,10,79,19,81,1769,160,131,0.8061224489795918,0.49375,0.6124031007751938,0.8549618320610687,0.1450381679389313,1.6458333333333333,0.5135135135135135,0.743840579710145,0.6248658680643975,0.8583910533910534,0.6554054054054054,0.34459459459459457,48,46,36,37
RRF_A0.90_X0.10_C10,10,78,17,82,1768,160,131,0.8210526315789474,0.4875,0.611764705882353,0.8702290076335878,0.1297709923664122,1.625,0.4594594594594595,0.7588888888888888,0.6213936458421753,0.85502405002405,0.6824324324324325,0.31756756756756754,48,45,36,37
RRF_A0.90_X0.10_C20,10,78,17,82,1765,160,131,0.8210526315789474,0.4875,0.611764705882353,0.8702290076335878,0.1297709923664122,1.625,0.4594594594594595,0.7588888888888888,0.6213936458421753,0.85502405002405,0.6824324324324325,0.31756756756756754,48,45,36,37
RRF_A0.80_X0.20_C20,10,77,19,83,1762,160,131,0.8020833333333334,0.48125,0.6015625,0.8549618320610687,0.1450381679389313,1.6041666666666667,0.5135135135135135,0.7381481481481481,0.6005603125088419,0.8512282003710575,0.6554054054054054,0.34459459459459457,48,45,35,37
RRF_A0.80_X0.20_C10,10,76,17,84,1767,160,131,0.8172043010752689,0.475,0.6007905138339921,0.8702290076335878,0.1297709923664122,1.5833333333333333,0.4594594594594595,0.7559259259259259,0.6176057670542965,0.8490716690716691,0.6824324324324325,0.31756756756756754,48,45,36,37
RRF_A0.80_X0.20_C40,10,75,17,85,1762,160,131,0.8152173913043478,0.46875,0.5952380952380952,0.8702290076335878,0.1297709923664122,1.5625,0.4594594594594595,0.7432539682539683,0.5588936458421753,0.8422117276662732,0.6824324324324325,0.31756756756756754,48,42,33,37
ARAGORN_WITH_ARAX_FILTER_T200,10,75,18,85,3244,160,131,0.8064516129032258,0.46875,0.5928853754940712,0.8625954198473282,0.13740458015267176,1.5625,0.4864864864864865,0.708974358974359,0.5033380902866197,0.8645439617853411,0.6599099099099099,0.3400900900900901,48,39,29,37
RRF_A0.70_X0.30_C10,10,74,18,86,1766,160,131,0.8043478260869565,0.4625,0.5873015873015873,0.8625954198473282,0.13740458015267176,1.5416666666666667,0.4864864864864865,0.7284090909090909,0.5727825347310641,0.8390094219505985,0.6811454311454311,0.31885456885456886,48,44,34,37
RRF_A0.80_X0.20_C50,10,74,18,86,1761,160,131,0.8043478260869565,0.4625,0.5873015873015873,0.8625954198473282,0.13740458015267176,1.5416666666666667,0.4864864864864865,0.7194444444444444,0.5536853125088419,0.8560308441558442,0.6811454311454311,0.31885456885456886,48,42,32,37
RRF_A0.80_X0.20_C60,10,74,18,86,1761,160,131,0.8043478260869565,0.4625,0.5873015873015873,0.8625954198473282,0.13740458015267176,1.5416666666666667,0.4864864864864865,0.7143410852713178,0.5380603125088419,0.8476975108225109,0.6811454311454311,0.31885456885456886,48,43,32,37
RRF_A0.70_X0.30_C20,10,71,18,89,1761,160,131,0.797752808988764,0.44375,0.570281124497992,0.8625954198473282,0.13740458015267176,1.4791666666666667,0.4864864864864865,0.7189922480620154,0.5481613226098521,0.8276374130919586,0.6811454311454311,0.31885456885456886,48,43,33,37
RRF_A0.70_X0.30_C40,10,70,16,90,1753,160,131,0.813953488372093,0.4375,0.5691056910569106,0.8778625954198473,0.12213740458015267,1.4583333333333333,0.43243243243243246,0.7321428571428571,0.5186158680643975,0.8265551115551115,0.7171814671814671,0.2828185328185328,48,42,32,37
RRF_A0.70_X0.30_C50,10,69,14,91,1756,160,131,0.8313253012048193,0.43125,0.5679012345679012,0.8931297709923665,0.10687022900763359,1.4375,0.3783783783783784,0.74375,0.5081992013977308,0.8317128033257065,0.7442084942084942,0.2557915057915058,48,40,31,37
RRF_A0.70_X0.30_C60,10,68,14,92,1755,160,131,0.8292682926829268,0.425,0.5619834710743802,0.8931297709923665,0.10687022900763359,1.4166666666666667,0.3783783783783784,0.7371794871794872,0.48736586806439747,0.8261032301032301,0.7442084942084942,0.2557915057915058,48,39,30,37
RRF_A0.60_X0.40_C10,10,69,17,91,1756,160,131,0.8023255813953488,0.43125,0.5609756097560976,0.8702290076335878,0.1297709923664122,1.4375,0.4594594594594595,0.727906976744186,0.5439426654500183,0.8315094508770399,0.7081724581724582,0.29182754182754184,48,43,33,37
ARAGORN_WITH_ARAX_FILTER_T100,10,68,16,92,2607,160,131,0.8095238095238095,0.425,0.5573770491803278,0.8778625954198473,0.12213740458015267,1.4166666666666667,0.43243243243243246,0.7125,0.481983923619953,0.8761445139222918,0.6869369369369369,0.3130630630630631,48,36,27,37
RRF_A0.60_X0.40_C20,10,66,15,94,1751,160,131,0.8148148148148148,0.4125,0.5477178423236515,0.8854961832061069,0.11450381679389313,1.375,0.40540540540540543,0.7261904761904762,0.510609332116685,0.8128627109605371,0.7171814671814671,0.2828185328185328,48,42,32,37
RRF_A0.60_X0.40_C50,10,62,12,98,1770,160,131,0.8378378378378378,0.3875,0.5299145299145299,0.9083969465648855,0.0916030534351145,1.2916666666666667,0.32432432432432434,0.7380952380952381,0.4359769791755086,0.8216859183042758,0.7541827541827542,0.24581724581724582,48,35,27,37
RRF_A0.60_X0.40_C60,10,62,12,98,1768,160,131,0.8378378378378378,0.3875,0.5299145299145299,0.9083969465648855,0.0916030534351145,1.2916666666666667,0.32432432432432434,0.7380952380952381,0.4359769791755086,0.8216859183042758,0.7541827541827542,0.24581724581724582,48,35,27,37
RRF_A0.60_X0.40_C40,10,61,14,99,1762,160,131,0.8133333333333334,0.38125,0.5191489361702127,0.8931297709923665,0.10687022900763359,1.2708333333333333,0.3783783783783784,0.7361111111111112,0.45435933211668506,0.8218430982406137,0.7474259974259975,0.2525740025740026,48,36,28,37
ARAGORN_WITH_ARAX_FILTER_T50,10,57,13,103,2138,160,131,0.8142857142857143,0.35625,0.4956521739130435,0.9007633587786259,0.09923664122137404,1.1875,0.35135135135135137,0.7,0.419347758042611,0.8614959114959115,0.7027027027027027,0.2972972972972973,48,33,24,37
RRF_A0.50_X0.50_C10,10,57,13,103,1767,160,131,0.8142857142857143,0.35625,0.4956521739130435,0.9007633587786259,0.09923664122137404,1.1875,0.35135135135135137,0.7368421052631579,0.4448685913759443,0.7981312374115972,0.7487129987129987,0.25128700128700127,48,38,29,37
RRF_A0.50_X0.50_C20,10,54,11,106,1764,160,131,0.8307692307692308,0.3375,0.48,0.916030534351145,0.08396946564885496,1.125,0.2972972972972973,0.7450980392156863,0.411535258042611,0.8204018204018204,0.7812097812097812,0.2187902187902188,48,34,26,37
RRF_A0.50_X0.50_C40,10,51,12,109,1761,160,131,0.8095238095238095,0.31875,0.45739910313901344,0.9083969465648855,0.0916030534351145,1.0625,0.32432432432432434,0.6944444444444444,0.35148623843476784,0.8108136702998363,0.7541827541827542,0.24581724581724582,48,30,22,37
RRF_A0.50_X0.50_C50,10,49,12,111,1760,160,131,0.8032786885245902,0.30625,0.4434389140271493,0.9083969465648855,0.0916030534351145,1.0208333333333333,0.32432432432432434,0.6726190476190477,0.30981957176810115,0.7918950373298199,0.7541827541827542,0.24581724581724582,48,28,20,37
RRF_A0.50_X0.50_C60,10,49,12,111,1760,160,131,0.8032786885245902,0.30625,0.4434389140271493,0.9083969465648855,0.0916030534351145,1.0208333333333333,0.32432432432432434,0.6726190476190477,0.30981957176810115,0.7918950373298199,0.7541827541827542,0.24581724581724582,48,28,20,37
ARAGORN_WITH_ARAX_FILTER_T25,10,48,11,112,1661,160,131,0.8135593220338984,0.3,0.4383561643835616,0.916030534351145,0.08396946564885496,1.0,0.2972972972972973,0.6666666666666666,0.3195213691537221,0.8407837776258829,0.7432432432432432,0.25675675675675674,48,27,19,37
ARAGORN_WITH_ARAX_FILTER_T20,10,45,10,115,1514,160,131,0.8181818181818182,0.28125,0.4186046511627907,0.9236641221374046,0.07633587786259542,0.9375,0.2702702702702703,0.6733333333333333,0.2917435913759443,0.8128026294692962,0.7567567567567568,0.24324324324324326,48,25,18,37
ARAX_RANKER,10,40,8,120,1758,160,131,0.8333333333333334,0.25,0.38461538461538464,0.9389312977099237,0.061068702290076333,0.8333333333333334,0.21621621621621623,0.7142857142857143,0.22852872209489855,0.7980754917597023,0.8622908622908623,0.1377091377091377,48,21,15,37
ARAGORN_WITH_ARAX_FILTER_T10,10,39,6,121,1048,160,131,0.8666666666666667,0.24375,0.3804878048780488,0.9541984732824428,0.04580152671755725,0.8125,0.16216216216216217,0.7368421052631579,0.22332038876156524,0.8265094554568239,0.8648648648648649,0.13513513513513514,48,19,14,37
ARAGORN_WITH_ARAX_FILTER_T5,10,28,5,132,644,160,131,0.8484848484848485,0.175,0.29015544041450775,0.9618320610687023,0.03816793893129771,0.5833333333333334,0.13513513513513514,0.7142857142857143,0.163510101010101,0.8407692307692308,0.8918918918918919,0.10810810810810811,48,14,10,37
