scope,arax_veto_threshold,TopAnswer_count,TopAnswer_vetoed_count,TopAnswer_vetoed_rate,TopAnswer_aragorn_top10_count,TopAnswer_aragorn_top10_vetoed_count,TopAnswer_aragorn_top10_vetoed_rate,TopAnswer_aragorn_top20_count,TopAnswer_aragorn_top20_vetoed_count,TopAnswer_aragorn_top20_vetoed_rate,NeverShow_count,NeverShow_vetoed_count,NeverShow_vetoed_rate,NeverShow_aragorn_top10_count,NeverShow_aragorn_top10_vetoed_count,NeverShow_aragorn_top10_vetoed_rate,NeverShow_aragorn_top20_count,NeverShow_aragorn_top20_vetoed_count,NeverShow_aragorn_top20_vetoed_rate
overall,5,284,79,0.27816901408450706,232,36,0.15517241379310345,247,51,0.20647773279352227,48,43,0.8958333333333334,23,18,0.782608695652174,25,20,0.8
overall,10,284,69,0.24295774647887325,232,27,0.11637931034482758,247,41,0.1659919028340081,48,41,0.8541666666666666,23,17,0.7391304347826086,25,19,0.76
overall,20,284,63,0.22183098591549297,232,21,0.09051724137931035,247,35,0.1417004048582996,48,38,0.7916666666666666,23,14,0.6086956521739131,25,16,0.64
overall,25,284,55,0.1936619718309859,232,21,0.09051724137931035,247,27,0.10931174089068826,48,36,0.75,23,14,0.6086956521739131,25,14,0.56
overall,50,284,42,0.14788732394366197,232,16,0.06896551724137931,247,16,0.06477732793522267,48,33,0.6875,23,12,0.5217391304347826,25,12,0.48
overall,100,284,13,0.045774647887323945,232,3,0.01293103448275862,247,3,0.012145748987854251,48,28,0.5833333333333334,23,12,0.5217391304347826,25,12,0.48
overall,200,284,2,0.007042253521126761,232,1,0.004310344827586207,247,1,0.004048582995951417,48,17,0.3541666666666667,23,7,0.30434782608695654,25,7,0.28
ARS,5,284,79,0.27816901408450706,232,36,0.15517241379310345,247,51,0.20647773279352227,48,43,0.8958333333333334,23,18,0.782608695652174,25,20,0.8
ARS,10,284,69,0.24295774647887325,232,27,0.11637931034482758,247,41,0.1659919028340081,48,41,0.8541666666666666,23,17,0.7391304347826086,25,19,0.76
ARS,20,284,63,0.22183098591549297,232,21,0.09051724137931035,247,35,0.1417004048582996,48,38,0.7916666666666666,23,14,0.6086956521739131,25,16,0.64
ARS,25,284,55,0.1936619718309859,232,21,0.09051724137931035,247,27,0.10931174089068826,48,36,0.75,23,14,0.6086956521739131,25,14,0.56
ARS,50,284,42,0.14788732394366197,232,16,0.06896551724137931,247,16,0.06477732793522267,48,33,0.6875,23,12,0.5217391304347826,25,12,0.48
ARS,100,284,13,0.045774647887323945,232,3,0.01293103448275862,247,3,0.012145748987854251,48,28,0.5833333333333334,23,12,0.5217391304347826,25,12,0.48
ARS,200,284,2,0.007042253521126761,232,1,0.004310344827586207,247,1,0.004048582995951417,48,17,0.3541666666666667,23,7,0.30434782608695654,25,7,0.28
