method,target_k,positive_hits,negative_hits,false_negatives,top_k_size,positive_totals,negative_totals,precision_micro,positive_recall_micro,f1_micro,negative_specificity_micro,negative_exposure_micro,positive_hits_per_group_mean,negative_hits_per_group_mean,precision_macro,positive_recall_macro,f1_macro,negative_specificity_macro,negative_exposure_macro,eligible_positive_groups,eligible_precision_groups,eligible_f1_groups,eligible_negative_groups
ARAGORN_WITH_ARAX_FILTER_T100,10,229,11,55,3033,284,48,0.9541666666666667,0.8063380281690141,0.8740458015267175,0.7708333333333334,0.22916666666666666,8.178571428571429,0.6875,0.8152777777777778,0.8313474446382326,0.9510407941389727,0.6953125,0.3046875,28,30,25,16
ARAGORN_WITH_ARAX_FILTER_T200,10,231,16,53,4361,284,48,0.9352226720647774,0.8133802816901409,0.8700564971751412,0.6666666666666666,0.3333333333333333,8.25,1.0,0.812962962962963,0.8326951535331114,0.9504930010419059,0.6484375,0.3515625,28,30,25,16
ARAGORN_RANKER,10,232,23,52,7256,284,48,0.9098039215686274,0.8169014084507042,0.8608534322820037,0.5208333333333334,0.4791666666666667,8.285714285714286,1.4375,0.7828262061403509,0.8684094392473971,0.9453953953660355,0.48046875,0.51953125,28,32,26,16
ARAX_RANKER,10,215,7,69,1651,284,48,0.9684684684684685,0.7570422535211268,0.849802371541502,0.8541666666666666,0.14583333333333334,7.678571428571429,0.4375,0.8256704980842912,0.7805741164390284,0.9381414081002382,0.8046875,0.1953125,28,29,24,16
ARAGORN_WITH_ARAX_FILTER_T50,10,216,11,68,2350,284,48,0.9515418502202643,0.7605633802816901,0.8454011741682974,0.7708333333333334,0.22916666666666666,7.714285714285714,0.6875,0.8148148148148148,0.8054040484118176,0.9318336149940919,0.6953125,0.3046875,28,30,25,16
ARAGORN_WITH_ARAX_FILTER_T20,10,211,9,73,1798,284,48,0.9590909090909091,0.7429577464788732,0.8373015873015873,0.8125,0.1875,7.535714285714286,0.5625,0.7981481481481482,0.7780230960308652,0.9385498638658368,0.7265625,0.2734375,28,30,24,16
ARAGORN_WITH_ARAX_FILTER_T25,10,211,9,73,1938,284,48,0.9590909090909091,0.7429577464788732,0.8373015873015873,0.8125,0.1875,7.535714285714286,0.5625,0.7981481481481482,0.7780230960308652,0.9385498638658368,0.7265625,0.2734375,28,30,24,16
RRF_A0.50_X0.50_C10,10,206,7,78,1655,284,48,0.9671361502347418,0.7253521126760564,0.8289738430583501,0.8541666666666666,0.14583333333333334,7.357142857142857,0.4375,0.8256704980842912,0.7720707150784842,0.9327520902109203,0.8046875,0.1953125,28,29,24,16
RRF_A0.50_X0.50_C20,10,206,7,78,1654,284,48,0.9671361502347418,0.7253521126760564,0.8289738430583501,0.8541666666666666,0.14583333333333334,7.357142857142857,0.4375,0.8256704980842912,0.7720707150784842,0.9327520902109203,0.8046875,0.1953125,28,29,24,16
RRF_A0.50_X0.50_C40,10,206,7,78,1654,284,48,0.9671361502347418,0.7253521126760564,0.8289738430583501,0.8541666666666666,0.14583333333333334,7.357142857142857,0.4375,0.8256704980842912,0.7720707150784842,0.9327520902109203,0.8046875,0.1953125,28,29,24,16
