scope,arax_veto_threshold,TopAnswer_count,TopAnswer_vetoed_count,TopAnswer_vetoed_rate,TopAnswer_aragorn_top10_count,TopAnswer_aragorn_top10_vetoed_count,TopAnswer_aragorn_top10_vetoed_rate,TopAnswer_aragorn_top20_count,TopAnswer_aragorn_top20_vetoed_count,TopAnswer_aragorn_top20_vetoed_rate,NeverShow_count,NeverShow_vetoed_count,NeverShow_vetoed_rate,NeverShow_aragorn_top10_count,NeverShow_aragorn_top10_vetoed_count,NeverShow_aragorn_top10_vetoed_rate,NeverShow_aragorn_top20_count,NeverShow_aragorn_top20_vetoed_count,NeverShow_aragorn_top20_vetoed_rate
overall,5,49,26,0.5306122448979592,43,20,0.46511627906976744,43,20,0.46511627906976744,41,36,0.8780487804878049,23,18,0.782608695652174,25,20,0.8
overall,10,49,24,0.4897959183673469,43,18,0.4186046511627907,43,18,0.4186046511627907,41,35,0.8536585365853658,23,17,0.7391304347826086,25,19,0.76
overall,20,49,23,0.46938775510204084,43,17,0.3953488372093023,43,17,0.3953488372093023,41,32,0.7804878048780488,23,14,0.6086956521739131,25,16,0.64
overall,25,49,23,0.46938775510204084,43,17,0.3953488372093023,43,17,0.3953488372093023,41,30,0.7317073170731707,23,14,0.6086956521739131,25,14,0.56
overall,50,49,21,0.42857142857142855,43,15,0.3488372093023256,43,15,0.3488372093023256,41,27,0.6585365853658537,23,12,0.5217391304347826,25,12,0.48
overall,100,49,7,0.14285714285714285,43,2,0.046511627906976744,43,2,0.046511627906976744,41,26,0.6341463414634146,23,12,0.5217391304347826,25,12,0.48
overall,200,49,1,0.02040816326530612,43,0,0.0,43,0,0.0,41,16,0.3902439024390244,23,7,0.30434782608695654,25,7,0.28
ARS,5,49,26,0.5306122448979592,43,20,0.46511627906976744,43,20,0.46511627906976744,41,36,0.8780487804878049,23,18,0.782608695652174,25,20,0.8
ARS,10,49,24,0.4897959183673469,43,18,0.4186046511627907,43,18,0.4186046511627907,41,35,0.8536585365853658,23,17,0.7391304347826086,25,19,0.76
ARS,20,49,23,0.46938775510204084,43,17,0.3953488372093023,43,17,0.3953488372093023,41,32,0.7804878048780488,23,14,0.6086956521739131,25,16,0.64
ARS,25,49,23,0.46938775510204084,43,17,0.3953488372093023,43,17,0.3953488372093023,41,30,0.7317073170731707,23,14,0.6086956521739131,25,14,0.56
ARS,50,49,21,0.42857142857142855,43,15,0.3488372093023256,43,15,0.3488372093023256,41,27,0.6585365853658537,23,12,0.5217391304347826,25,12,0.48
ARS,100,49,7,0.14285714285714285,43,2,0.046511627906976744,43,2,0.046511627906976744,41,26,0.6341463414634146,23,12,0.5217391304347826,25,12,0.48
ARS,200,49,1,0.02040816326530612,43,0,0.0,43,0,0.0,41,16,0.3902439024390244,23,7,0.30434782608695654,25,7,0.28
