method,target_k,positive_hits,negative_hits,false_negatives,top_k_size,positive_totals,negative_totals,precision_micro,positive_recall_micro,f1_micro,negative_specificity_micro,negative_exposure_micro,positive_hits_per_group_mean,negative_hits_per_group_mean,precision_macro,positive_recall_macro,f1_macro,negative_specificity_macro,negative_exposure_macro,eligible_positive_groups,eligible_precision_groups,eligible_f1_groups,eligible_negative_groups
ARAGORN_WITH_ARAX_FILTER_T100,10,41,11,8,1798,49,41,0.7884615384615384,0.8367346938775511,0.8118811881188119,0.7317073170731707,0.2682926829268293,3.4166666666666665,0.7857142857142857,0.6715686274509803,0.9012345679012346,0.9218954248366014,0.6452380952380953,0.3547619047619048,12,17,12,14
ARAGORN_WITH_ARAX_FILTER_T200,10,43,16,6,3000,49,41,0.7288135593220338,0.8775510204081632,0.7962962962962963,0.6097560975609756,0.3902439024390244,3.5833333333333335,1.1428571428571428,0.6647058823529411,0.9074074074074074,0.9201754385964912,0.5904761904761905,0.4095238095238095,12,17,12,14
ARAGORN_RANKER,10,43,23,6,5407,49,41,0.6515151515151515,0.8775510204081632,0.7478260869565218,0.43902439024390244,0.5609756097560976,3.5833333333333335,1.6428571428571428,0.5774410774410774,0.9074074074074074,0.8722222222222222,0.3976190476190476,0.6023809523809524,12,18,12,14
ARAGORN_WITH_ARAX_FILTER_T50,10,28,11,21,1194,49,41,0.717948717948718,0.5714285714285714,0.6363636363636364,0.7317073170731707,0.2682926829268293,2.3333333333333335,0.7857142857142857,0.6458333333333334,0.7808641975308642,0.882983682983683,0.6452380952380953,0.3547619047619048,12,16,11,14
RRF_A0.50_X0.50_C10,10,26,8,23,760,49,41,0.7647058823529411,0.5306122448979592,0.6265060240963856,0.8048780487804879,0.1951219512195122,2.1666666666666665,0.5714285714285714,0.6555555555555556,0.7253086419753086,0.9012820512820513,0.7523809523809524,0.24761904761904763,12,15,10,14
RRF_A0.50_X0.50_C20,10,26,8,23,760,49,41,0.7647058823529411,0.5306122448979592,0.6265060240963856,0.8048780487804879,0.1951219512195122,2.1666666666666665,0.5714285714285714,0.6555555555555556,0.7253086419753086,0.9012820512820513,0.7523809523809524,0.24761904761904763,12,15,10,14
RRF_A0.50_X0.50_C40,10,26,8,23,760,49,41,0.7647058823529411,0.5306122448979592,0.6265060240963856,0.8048780487804879,0.1951219512195122,2.1666666666666665,0.5714285714285714,0.6555555555555556,0.7253086419753086,0.9012820512820513,0.7523809523809524,0.24761904761904763,12,15,10,14
RRF_A0.50_X0.50_C50,10,26,8,23,760,49,41,0.7647058823529411,0.5306122448979592,0.6265060240963856,0.8048780487804879,0.1951219512195122,2.1666666666666665,0.5714285714285714,0.6555555555555556,0.7253086419753086,0.9012820512820513,0.7523809523809524,0.24761904761904763,12,15,10,14
RRF_A0.50_X0.50_C60,10,26,8,23,760,49,41,0.7647058823529411,0.5306122448979592,0.6265060240963856,0.8048780487804879,0.1951219512195122,2.1666666666666665,0.5714285714285714,0.6555555555555556,0.7253086419753086,0.9012820512820513,0.7523809523809524,0.24761904761904763,12,15,10,14
RRF_A0.60_X0.40_C10,10,26,8,23,760,49,41,0.7647058823529411,0.5306122448979592,0.6265060240963856,0.8048780487804879,0.1951219512195122,2.1666666666666665,0.5714285714285714,0.6555555555555556,0.7253086419753086,0.9012820512820513,0.7523809523809524,0.24761904761904763,12,15,10,14
RRF_A0.60_X0.40_C20,10,26,8,23,760,49,41,0.7647058823529411,0.5306122448979592,0.6265060240963856,0.8048780487804879,0.1951219512195122,2.1666666666666665,0.5714285714285714,0.6555555555555556,0.7253086419753086,0.9012820512820513,0.7523809523809524,0.24761904761904763,12,15,10,14
RRF_A0.60_X0.40_C40,10,26,8,23,760,49,41,0.7647058823529411,0.5306122448979592,0.6265060240963856,0.8048780487804879,0.1951219512195122,2.1666666666666665,0.5714285714285714,0.6555555555555556,0.7253086419753086,0.9012820512820513,0.7523809523809524,0.24761904761904763,12,15,10,14
RRF_A0.60_X0.40_C50,10,26,8,23,760,49,41,0.7647058823529411,0.5306122448979592,0.6265060240963856,0.8048780487804879,0.1951219512195122,2.1666666666666665,0.5714285714285714,0.6555555555555556,0.7253086419753086,0.9012820512820513,0.7523809523809524,0.24761904761904763,12,15,10,14
RRF_A0.60_X0.40_C60,10,26,8,23,760,49,41,0.7647058823529411,0.5306122448979592,0.6265060240963856,0.8048780487804879,0.1951219512195122,2.1666666666666665,0.5714285714285714,0.6555555555555556,0.7253086419753086,0.9012820512820513,0.7523809523809524,0.24761904761904763,12,15,10,14
RRF_A0.70_X0.30_C10,10,26,8,23,760,49,41,0.7647058823529411,0.5306122448979592,0.6265060240963856,0.8048780487804879,0.1951219512195122,2.1666666666666665,0.5714285714285714,0.6555555555555556,0.7253086419753086,0.9012820512820513,0.7523809523809524,0.24761904761904763,12,15,10,14
RRF_A0.70_X0.30_C20,10,26,8,23,760,49,41,0.7647058823529411,0.5306122448979592,0.6265060240963856,0.8048780487804879,0.1951219512195122,2.1666666666666665,0.5714285714285714,0.6555555555555556,0.7253086419753086,0.9012820512820513,0.7523809523809524,0.24761904761904763,12,15,10,14
RRF_A0.70_X0.30_C40,10,26,8,23,760,49,41,0.7647058823529411,0.5306122448979592,0.6265060240963856,0.8048780487804879,0.1951219512195122,2.1666666666666665,0.5714285714285714,0.6555555555555556,0.7253086419753086,0.9012820512820513,0.7523809523809524,0.24761904761904763,12,15,10,14
RRF_A0.70_X0.30_C50,10,26,8,23,760,49,41,0.7647058823529411,0.5306122448979592,0.6265060240963856,0.8048780487804879,0.1951219512195122,2.1666666666666665,0.5714285714285714,0.6555555555555556,0.7253086419753086,0.9012820512820513,0.7523809523809524,0.24761904761904763,12,15,10,14
RRF_A0.70_X0.30_C60,10,26,8,23,760,49,41,0.7647058823529411,0.5306122448979592,0.6265060240963856,0.8048780487804879,0.1951219512195122,2.1666666666666665,0.5714285714285714,0.6555555555555556,0.7253086419753086,0.9012820512820513,0.7523809523809524,0.24761904761904763,12,15,10,14
RRF_A0.80_X0.20_C10,10,26,8,23,760,49,41,0.7647058823529411,0.5306122448979592,0.6265060240963856,0.8048780487804879,0.1951219512195122,2.1666666666666665,0.5714285714285714,0.6555555555555556,0.7253086419753086,0.9012820512820513,0.7523809523809524,0.24761904761904763,12,15,10,14
RRF_A0.80_X0.20_C20,10,26,8,23,760,49,41,0.7647058823529411,0.5306122448979592,0.6265060240963856,0.8048780487804879,0.1951219512195122,2.1666666666666665,0.5714285714285714,0.6555555555555556,0.7253086419753086,0.9012820512820513,0.7523809523809524,0.24761904761904763,12,15,10,14
RRF_A0.80_X0.20_C40,10,26,8,23,760,49,41,0.7647058823529411,0.5306122448979592,0.6265060240963856,0.8048780487804879,0.1951219512195122,2.1666666666666665,0.5714285714285714,0.6555555555555556,0.7253086419753086,0.9012820512820513,0.7523809523809524,0.24761904761904763,12,15,10,14
RRF_A0.80_X0.20_C50,10,26,8,23,760,49,41,0.7647058823529411,0.5306122448979592,0.6265060240963856,0.8048780487804879,0.1951219512195122,2.1666666666666665,0.5714285714285714,0.6555555555555556,0.7253086419753086,0.9012820512820513,0.7523809523809524,0.24761904761904763,12,15,10,14
RRF_A0.80_X0.20_C60,10,26,8,23,760,49,41,0.7647058823529411,0.5306122448979592,0.6265060240963856,0.8048780487804879,0.1951219512195122,2.1666666666666665,0.5714285714285714,0.6555555555555556,0.7253086419753086,0.9012820512820513,0.7523809523809524,0.24761904761904763,12,15,10,14
RRF_A0.90_X0.10_C10,10,26,8,23,760,49,41,0.7647058823529411,0.5306122448979592,0.6265060240963856,0.8048780487804879,0.1951219512195122,2.1666666666666665,0.5714285714285714,0.6555555555555556,0.7253086419753086,0.9012820512820513,0.7523809523809524,0.24761904761904763,12,15,10,14
RRF_A0.90_X0.10_C20,10,26,8,23,760,49,41,0.7647058823529411,0.5306122448979592,0.6265060240963856,0.8048780487804879,0.1951219512195122,2.1666666666666665,0.5714285714285714,0.6555555555555556,0.7253086419753086,0.9012820512820513,0.7523809523809524,0.24761904761904763,12,15,10,14
RRF_A0.90_X0.10_C40,10,26,8,23,760,49,41,0.7647058823529411,0.5306122448979592,0.6265060240963856,0.8048780487804879,0.1951219512195122,2.1666666666666665,0.5714285714285714,0.6555555555555556,0.7253086419753086,0.9012820512820513,0.7523809523809524,0.24761904761904763,12,15,10,14
RRF_A0.90_X0.10_C50,10,26,8,23,760,49,41,0.7647058823529411,0.5306122448979592,0.6265060240963856,0.8048780487804879,0.1951219512195122,2.1666666666666665,0.5714285714285714,0.6555555555555556,0.7253086419753086,0.9012820512820513,0.7523809523809524,0.24761904761904763,12,15,10,14
RRF_A0.90_X0.10_C60,10,26,8,23,760,49,41,0.7647058823529411,0.5306122448979592,0.6265060240963856,0.8048780487804879,0.1951219512195122,2.1666666666666665,0.5714285714285714,0.6555555555555556,0.7253086419753086,0.9012820512820513,0.7523809523809524,0.24761904761904763,12,15,10,14
ARAX_RANKER,10,25,6,24,605,49,41,0.8064516129032258,0.5102040816326531,0.625,0.8536585365853658,0.14634146341463414,2.0833333333333335,0.42857142857142855,0.6794871794871795,0.6975308641975309,0.9458689458689459,0.794047619047619,0.20595238095238094,12,13,9,14
ARAGORN_WITH_ARAX_FILTER_T10,10,25,6,24,576,49,41,0.8064516129032258,0.5102040816326531,0.625,0.8536585365853658,0.14634146341463414,2.0833333333333335,0.42857142857142855,0.6794871794871795,0.6975308641975309,0.9458689458689459,0.794047619047619,0.20595238095238094,12,13,9,14
ARAGORN_WITH_ARAX_FILTER_T20,10,26,9,23,758,49,41,0.7428571428571429,0.5306122448979592,0.6190476190476191,0.7804878048780488,0.21951219512195122,2.1666666666666665,0.6428571428571429,0.6145833333333334,0.7253086419753086,0.9012820512820513,0.680952380952381,0.319047619047619,12,16,10,14
ARAGORN_WITH_ARAX_FILTER_T25,10,26,9,23,873,49,41,0.7428571428571429,0.5306122448979592,0.6190476190476191,0.7804878048780488,0.21951219512195122,2.1666666666666665,0.6428571428571429,0.6145833333333334,0.7253086419753086,0.9012820512820513,0.680952380952381,0.319047619047619,12,16,10,14
ARAGORN_WITH_ARAX_FILTER_T5,10,23,5,26,482,49,41,0.8214285714285714,0.46938775510204084,0.5974025974025974,0.8780487804878049,0.12195121951219512,1.9166666666666667,0.35714285714285715,0.7121212121212122,0.6141975308641975,0.9391025641025641,0.8654761904761905,0.13452380952380952,12,11,8,14
